,fighter_name,fighter_type
71,Tom Breese,Bjj
72,Mickey Gall,Bjj
73,Joe Merritt,NA
74,Kenny Robertson,Wrestler
75,Jordan Mein,NA
76,Hayder Hassan,NA
77,Jake Ellenberger,Wrestler
78,Sultan Aliev,Wrestler
79,Danny Mitchell,NA
80,Benson Henderson,Bjj
81,Nico Musoke,NA
82,Anton Zafir,NA
83,Cathal Pendred,NA
84,Leon Edwards,Striker
85,Lorenz Larkin,Striker
86,Rick Story,Wrestler
87,Chris Heatherly,Wrestler
88,Patrick Cote,Striker
89,Santiago Ponzinibbio,NA
90,Hector Lombard,Bjj
91,Mike Perry,Striker
92,Roan Carneiro,Bjj
93,Mike Jackson,Striker
94,Gunnar Nelson,Bjj
95,Dominic Waters,NA
96,Nate Diaz,Bjj
97,Hyun Gyu Lim,Striker
98,Alvaro Herrera,NA
99,Erick Silva,Bjj
100,Steve Kennedy,NA
101,Brian Ebersole,Wrestler
102,Siyar Bahadurzada,NA
103,Demian Maia,Bjj
104,Donald Cerrone,Striker
105,Lewis Gonzalez,NA
106,Mats Nilsson,Bjj
107,Chris Indich,NA
108,Elizeu Zaleski dos Santos,Striker
109,Luan Chagas,NA
110,Lyman Good,NA
111,Niko Price,NA
112,Davi Ramos,Bjj
113,Emil Meek,Striker
114,Roger Zapata,NA
115,Jimmy Wallhead,Bjj
116,Abdul Razak Alhassan,Bjj
117,Hernani Perpetuo,NA
118,John Howard,NA
119,Seth Baczynski,NA
120,Claudio Silva,Bjj
121,Edgar Garcia,Wrestler
122,Randy Brown,Striker
123,Kyle Noke,NA
124,Sabah Homasi,NA
125,James Moontasri,Striker
126,Brian Camozzi,NA
127,Sheldon Westcott,NA
0,Yaotzin Meza,Wrestler
1,Gavin Tucker,NA
2,Jason Knight,Bjj
3,Andre Fili,NA
4,Robert Peralta,Striker
5,Mike de la Torre,NA
6,Hacran Dias,Bjj
7,Sam Sicilia,Wrestler
8,Dennis Bermudez,Wrestler
9,Jeremy Stephens,Wrestler
10,Frankie Edgar,Wrestler
11,Charles Oliveira,Bjj
12,Max Holloway,NA
13,Russell Doane,Striker
14,Yui Chul Nam,Bjj
15,Tatsuya Kawajiri,Striker
16,Thiago Tavares,Bjj
17,Teruto Ishihara,Striker
18,Dashon Johnson,Striker
19,Enrique Barzola,Wrestler
20,Paul Redmond,Bjj
21,Chris Avila,NA
22,Cub Swanson,Striker
23,Masio Fullen,Striker
24,Chad Mendes,Wrestler
25,Humberto Brown,NA
26,Makwan Amirkhani,Wrestler
27,Zubaira Tukhugov,Striker
28,Brian Ortega,Bjj
29,Steven Siler,Bjj
30,Ryan Hall,Bjj
31,Maximo Blanco,Wrestler
32,Tom Niinimaki,Striker
33,Rob Whiteford,NA
34,Mark Eddiva,Wrestler
35,Charles Rosa,NA
36,Jeremy Kennedy,NA
37,Diego Brandao,Bjj
38,Tiago Trator,Striker
39,Niklas Backstrom,NA
40,Clay Collard,NA
41,Alex Caceres,NA
42,Renan Barao,NA
43,Juan Puig,Wrestler
44,Diego Rivas,NA
45,Jim Alers,Bjj
46,Alex White,Striker
47,Phillipe Nover,NA
48,Katsunori Kikuno,Wrestler
49,Clay Guida,Wrestler
50,Chas Skelly,Wrestler
51,Myles Jury,Bjj
52,Levan Makashvili,Wrestler
53,Ricardo Lamas,Wrestler
54,Lucas Martins,Striker
55,Horacio Gutierrez,Striker
56,Alex Torres,Wrestler
57,Darren Elkins,Wrestler
58,BJ Penn,Bjj
59,Dennis Siver,Striker
60,Fernando Bruno,NA
63,Luke Sanders, NA
64,Sean Soriano,NA
65,Ivan Menjivar,Bjj
66,Shane Burgos,NA
67,Dooho Choi,Striker
68,Aaron Phillips,Striker
69,Damon Jackson,Wrestler
70,Noad Lahat,Bjj
71,Kyle Bochniak,NA
72,Mirsad Bektic,NA
73,Rony Jason,Bjj
74,Rocky Lee,Bjj
75,Andy Ogle,NA
76,Renato Moicano,Bjj
77,Will Chope,Striker
78,Akira Corassani,Striker
79,Jimy Hettes,Bjj
80,Rodolfo Rubio,Wrestler
81,Dan Hooker,NA
82,Anthony Pettis,NA
83,Godofredo Pepey,Bjj
84,Mike Wilkinson,NA
85,Chan Sung Jung,NA
86,Cole Miller,NA
87,Mizuto Hirota,Striker
